,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.0003641068341727297,0.004812792078106327,9.650142356293421e-05,-0.009417003721892137,0.009861905165042583,2530.620202385671,0.9999544008912358
r_star,0.5927866790593115,0.025793390348283356,0.0006492621948710281,0.5442685354321548,0.6437567348768999,1773.7994811571727,1.0025977697356498
m_star,0.6465267124698908,0.06656737023898185,0.0012853398717404861,0.5102556787984609,0.7680383813881674,2513.7803026861625,1.001371564565464
t0__0,2332.5762168259944,0.0015504590503075545,3.0635880572077136e-05,2332.573033932145,2332.5791193032637,2525.9937651060923,0.9999069215093879
logr__0,-3.9948396975457503,0.05591048593049509,0.0016921380321251705,-4.104465017701725,-3.878992439378576,1159.6974626365393,1.0031109137090115
logP__0,3.0525444983307177,8.855299899528401e-05,2.034992538686529e-06,3.052365213989554,3.0527135052247973,1994.9348427646162,0.9999885685378846
logs2,-14.032123051639985,5.256460634928973,0.1564932979329186,-24.914415552813743,-6.644845042984941,1197.939011430639,1.004164150288707
u__0,0.5146505064261592,0.3224316575924208,0.006197531221011385,0.004754421817343024,1.10125224351833,2848.8757153767788,1.0004060839105695
u__1,0.11702212281531639,0.35272556924663734,0.006080799977959532,-0.4942013740783296,0.8009344539283898,3012.667257718276,1.0006537159781166
b__0,0.23785053841282816,0.14588933568736998,0.0048264366006528624,0.00023346830694344873,0.4916355038143265,952.4913237363113,1.0056319641230167
r_pl__0,0.01843932946343208,0.001039028223903103,3.227512832574714e-05,0.016435799948251274,0.02059477835460761,1083.3588523421638,1.003278222880399
rprs__0,0.031110844541467425,0.0012224364328708981,3.1799591201132515e-05,0.028734424046999513,0.03344425316580011,1595.9655949062856,1.0015295591700326
period__0,21.169140877540155,0.0018745705781921867,4.307838890298323e-05,21.16534583927826,21.17271882762405,1994.9790744293855,0.999988545730918
