,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.00036240484818213204,0.003943783070846634,5.6622320547526484e-05,-0.008107051469725984,0.007419279849204467,3803.1714277527203,0.9997488004052147
r_star,0.6959556314899423,0.033566552021226374,0.0007254624964034985,0.6299496367086211,0.7625918928063828,2315.4977228363864,0.9997656622655956
m_star,0.6680371148193812,0.06700108799085243,0.0012826761654922306,0.5441718724404011,0.8050140267547757,2866.784856914111,1.0002495933714912
t0__0,2342.6024724853773,0.0016964766364011737,3.2272774244059516e-05,2342.5992057521225,2342.6059202284664,2519.8110687787544,1.0003494104367172
logr__0,-3.9310225781784873,0.05107883564642881,0.0008779648880491616,-4.0298321605646334,-3.8280977322918086,2964.1919083529906,1.00004850330626
logP__0,2.2577106493892103,0.00010420466604576466,2.4115995048684326e-06,2.257515885605376,2.2578979481383437,1717.8969116063763,1.0002284095898883
logs2,-3.49355763970288,0.04026255755172452,0.0005804060531668799,-3.5705890135757414,-3.414235029587089,4705.661578534431,0.9995229844163314
u__0,0.4197555593651925,0.2671120340235072,0.005439095089056911,0.00029391742755633765,0.8932523991038577,2805.8901361382177,0.9997497962430392
u__1,0.1763740377011676,0.33396376044139836,0.00648295949433042,-0.4083850594550071,0.8073800786322054,2702.4842019605217,0.9998717103180929
b__0,0.20619986420844452,0.1368697172400448,0.003193935749826359,7.308418354208455e-05,0.45196951501771593,1570.3324543328133,1.0005206644704194
r_pl__0,0.01964925989075652,0.0010071210365852187,1.7385669997878525e-05,0.017655842830450547,0.021610386546429123,2909.708815688118,1.0000268202620741
rprs__0,0.028243162874343936,0.0008786456938290314,1.76916020395673e-05,0.026401722622538842,0.029836248315453083,2167.203239707651,1.0008015994291328
period__0,9.561175261574784,0.0009963292793550833,2.3057795419107096e-05,9.559313220332072,9.562966173538307,1717.9194564646225,1.0002283921740234
